k,optimizer,best_A,best_B,best_C,best_D
5.8824,Lion,0.0,0.24420024420024422,0.36101083032490977,0.24420024420024422
6.4706,GD_fixed,0.9756097560975611,0.6309148264984227,1.0,0.6309148264984227
6.4706,Adam,0.2783931240657698,0.4629629629629629,0.6230529595015576,0.4629629629629629
6.4706,RMSProp,1.0,0.3861003861003861,0.7434944237918216,0.3861003861003861
6.4706,AdaGrad,0.0022222222222222222,0.4566210045662101,0.60790273556231,0.4566210045662101
6.4706,AdamW,0.288177641653905,0.4629629629629629,0.6230529595015576,0.4629629629629629
6.4706,SGD_Nesterov,0.9900990099009901,0.29325513196480935,1.0,0.29325513196480935
6.4706,Lion,0.0,0.24420024420024422,0.3629764065335753,0.24420024420024422
7.0588,GD_fixed,0.9756097560975611,0.6578947368421053,1.0,0.6578947368421053
7.0588,Adam,0.2893835616438356,0.4618937644341801,0.6329113924050632,0.4618937644341801
7.0588,RMSProp,1.0,0.3861003861003861,0.7547169811320755,0.3861003861003861
7.0588,AdaGrad,0.005294117647058823,0.4566210045662101,0.6134969325153374,0.4566210045662101
7.0588,AdamW,0.28521439509954055,0.4618937644341801,0.6289308176100629,0.4618937644341801
7.0588,SGD_Nesterov,0.9900990099009901,0.3067484662576687,1.0,0.3067484662576687
7.0588,Lion,0.0,0.24449877750611249,0.36496350364963503,0.24449877750611249
7.6471,GD_fixed,0.9756097560975611,0.5681818181818182,1.0,0.5617977528089888
7.6471,Adam,0.2925,0.4618937644341801,0.6369426751592356,0.4618937644341801
7.6471,RMSProp,1.0,0.3861003861003861,0.7575757575757576,0.3861003861003861
7.6471,AdaGrad,0.005,0.4566210045662101,0.6172839506172839,0.4566210045662101
7.6471,AdamW,0.28434351145038167,0.4618937644341801,0.6369426751592356,0.4618937644341801
7.6471,SGD_Nesterov,0.9900990099009901,0.3236245954692557,1.0,0.3236245954692557
7.6471,Lion,0.0,0.24449877750611249,0.3656307129798903,0.24449877750611249
8.2353,GD_fixed,0.9803921568627451,0.4164524421593831,1.0,0.41289948453608244
8.2353,Adam,0.29400757575757575,0.4629629629629629,0.6493506493506493,0.4629629629629629
8.2353,RMSProp,1.0,0.3868471953578337,0.7604562737642586,0.3868471953578337
8.2353,AdaGrad,0.005625,0.45766590389016015,0.625,0.45766590389016015
8.2353,AdamW,0.2863328313253012,0.4629629629629629,0.6493506493506493,0.4629629629629629
8.2353,SGD_Nesterov,0.9900990099009901,0.3361344537815126,1.0,0.3361344537815126
8.2353,Lion,0.0,0.24479804161566707,0.3676470588235294,0.24479804161566707
8.8235,GD_fixed,0.9852216748768474,0.32320448877805485,1.0,0.32320448877805485
8.8235,Adam,0.2952251552795031,0.4629629629629629,0.6514657980456027,0.4629629629629629
8.8235,RMSProp,1.0,0.3868471953578337,0.7633587786259541,0.3868471953578337
8.8235,AdaGrad,0.005,0.45766590389016015,0.6269592476489029,0.45766590389016015
8.8235,AdamW,0.29220496894409936,0.4629629629629629,0.6514657980456027,0.4629629629629629
8.8235,SGD_Nesterov,0.9900990099009901,0.3460207612456747,1.0,0.3460207612456747
8.8235,Lion,0.0,0.24479804161566707,0.3676470588235294,0.24479804161566707
9.4118,GD_fixed,0.9852216748768474,0.27027027027027023,1.0,0.25157232704402516
9.4118,Adam,0.2935725429017161,0.4629629629629629,0.6578947368421053,0.4629629629629629
9.4118,RMSProp,1.0,0.3868471953578337,0.7662835249042146,0.3868471953578337
9.4118,AdaGrad,0.007000000000000001,0.45766590389016015,0.6329113924050632,0.45766590389016015
9.4118,AdamW,0.2916027607361963,0.4629629629629629,0.6578947368421053,0.4629629629629629
9.4118,SGD_Nesterov,0.9950248756218907,0.35650623885918004,1.0,0.35650623885918004
9.4118,Lion,0.0,0.24479804161566707,0.37037037037037035,0.24479804161566707
10.0,GD_fixed,0.9852216748768474,0.2881844380403458,1.0,0.28653295128939826
10.0,Adam,0.2926594090202177,0.4629629629629629,0.6688963210702341,0.4629629629629629
10.0,RMSProp,1.0,0.3868471953578337,0.7662835249042146,0.3868471953578337
10.0,AdaGrad,0.007205882352941177,0.45766590389016015,0.641025641025641,0.45766590389016015
10.0,AdamW,0.2926594090202177,0.4629629629629629,0.6688963210702341,0.4629629629629629
10.0,SGD_Nesterov,0.9950248756218907,0.36697247706422015,1.0,0.36697247706422015
10.0,Lion,0.0,0.24479804161566707,0.37243947858473,0.24479804161566707
